Borough,Neighbourhood,City,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"13th arrondissement(Called ""des Gobelins"")",Croulebarbe,3,48.8348,2.3469,0,French Restaurant,Hotel,Bar,Café,Bakery,Thai Restaurant,Italian Restaurant,Pizza Place,Vietnamese Restaurant,Farmers Market
"14th arrondissement(Called ""de l'Observatoire"")",Montparnasse,3,48.8393,2.3305,0,French Restaurant,Creperie,Hotel,Bakery,Bar,Café,Theater,Pizza Place,Wine Shop,Ice Cream Shop
"14th arrondissement(Called ""de l'Observatoire"")",Parc Montsouris,3,48.8224,2.3401,0,Hotel,Bar,Bakery,Plaza,French Restaurant,Italian Restaurant,General Eating,Pizza Place,Café,Supermarket
"14th arrondissement(Called ""de l'Observatoire"")",Petit-Montrouge,3,48.8289,2.3282,0,French Restaurant,Hotel,Italian Restaurant,Bar,Bakery,General Eating,Bistro,Vietnamese Restaurant,Pizza Place,Gym
"14th arrondissement(Called ""de l'Observatoire"")",Plaisance,3,48.8306,2.3193,0,French Restaurant,Hotel,Bakery,Italian Restaurant,Bar,Pizza Place,Seafood Restaurant,Bistro,Indian Restaurant,Vietnamese Restaurant
"15th arrondissement(Called ""de Vaugirard"")",Saint-Lambert,3,48.8345,2.3006,0,French Restaurant,Hotel,Bakery,Japanese Restaurant,Park,Coffee Shop,Gym,Pizza Place,Plaza,Sandwich Place
"15th arrondissement(Called ""de Vaugirard"")",Necker,3,48.843,2.3126,0,French Restaurant,Hotel,Japanese Restaurant,Italian Restaurant,Creperie,Bistro,Dessert Shop,Bakery,Korean Restaurant,Pastry Shop
"15th arrondissement(Called ""de Vaugirard"")",Grenelle,3,48.8508,2.2925,0,French Restaurant,Hotel,Gym / Fitness Center,Bakery,Japanese Restaurant,Plaza,Bistro,Park,Coffee Shop,Korean Restaurant
"15th arrondissement(Called ""de Vaugirard"")",Javel,3,48.8369,2.2787,0,French Restaurant,Hotel,Japanese Restaurant,Bakery,Pizza Place,Sandwich Place,Bistro,Park,Italian Restaurant,Lebanese Restaurant
"16th arrondissement(Called ""de Passy"")",Auteuil,3,48.8491,2.2663,0,French Restaurant,Italian Restaurant,Bakery,Bistro,Japanese Restaurant,Beer Garden,Brasserie,Burger Joint,Film Studio,Outdoor Sculpture
"16th arrondissement(Called ""de Passy"")",La Muette,3,48.8582,2.2748,0,French Restaurant,Italian Restaurant,Bakery,Hotel,Plaza,Supermarket,Café,Garden,Japanese Restaurant,Bar
"16th arrondissement(Called ""de Passy"")",Porte-Dauphine,3,48.8717,2.2757,0,French Restaurant,Italian Restaurant,Bakery,Café,Plaza,Hotel,Pizza Place,Coffee Shop,Grocery Store,Seafood Restaurant
"16th arrondissement(Called ""de Passy"")",Chaillot,3,48.8689,2.2916,0,Hotel,French Restaurant,Italian Restaurant,Plaza,Hotel Bar,Bakery,Art Museum,Spa,Tailor Shop,Bagel Shop
"17th arrondissement(Called ""des Batignolles-Monceau"")",Les Ternes,3,48.8799,2.293,0,French Restaurant,Hotel,Italian Restaurant,Bakery,Plaza,Bistro,Tea Room,Seafood Restaurant,Japanese Restaurant,Breton Restaurant
"17th arrondissement(Called ""des Batignolles-Monceau"")",Plaine Monceau,3,48.8843,2.3027,0,French Restaurant,Hotel,Italian Restaurant,Bakery,General Eating,Seafood Restaurant,Japanese Restaurant,Plaza,Bistro,Mediterranean Restaurant
"17th arrondissement(Called ""des Batignolles-Monceau"")",Batignolles,3,48.8873,2.3139,0,French Restaurant,Bar,Hotel,General Eating,Wine Bar,Italian Restaurant,Park,Farmers Market,Pastry Shop,Gym / Fitness Center
"17th arrondissement(Called ""des Batignolles-Monceau"")",Épinettes,3,48.8932,2.3236,0,French Restaurant,Bar,Bakery,General Eating,Wine Bar,Italian Restaurant,Gym / Fitness Center,Pizza Place,Park,Bistro
"18th arrondissement(Called ""des Buttes-Montmartre"")",Grandes-Carrières,3,48.8905,2.3318,0,French Restaurant,Bar,Italian Restaurant,Bistro,Bakery,Wine Bar,Plaza,Café,Beer Bar,Hotel
"18th arrondissement(Called ""des Buttes-Montmartre"")",Clignancourt,3,48.8884,2.3481,0,French Restaurant,Bar,Plaza,Pizza Place,Bakery,Bistro,Italian Restaurant,Café,Vegetarian / Vegan Restaurant,Bookstore
"18th arrondissement(Called ""des Buttes-Montmartre"")",Goutte-d'Or,3,48.8887,2.3556,0,French Restaurant,Bar,Bistro,Indian Restaurant,General Eating,Vegetarian / Vegan Restaurant,Italian Restaurant,Hotel,Theater,Café
"18th arrondissement(Called ""des Buttes-Montmartre"")",La Chapelle,3,48.8932,2.3634,0,Hotel,French Restaurant,Café,Supermarket,Bistro,Bus Stop,Tram Station,Bar,Asian Restaurant,Convenience Store
"19th arrondissement(Called ""des Buttes-Chaumont"")",La Villette,3,48.8938,2.3903,0,Hotel,French Restaurant,Bar,Café,Pizza Place,Fast Food Restaurant,Bistro,Steakhouse,General Eating,Music Venue
"19th arrondissement(Called ""des Buttes-Chaumont"")",Pont-de-Flandre,3,48.8959,2.3836,0,Hotel,French Restaurant,Shopping Mall,Bar,Music Venue,Bistro,Bakery,Asian Restaurant,Pizza Place,Furniture / Home Store
"19th arrondissement(Called ""des Buttes-Chaumont"")",Amérique,3,48.8811,2.3938,0,French Restaurant,Bar,Supermarket,General Eating,Pizza Place,Café,Hotel,Bistro,Bakery,Japanese Restaurant
"19th arrondissement(Called ""des Buttes-Chaumont"")",Combat,3,48.8789,2.3784,0,French Restaurant,Bar,Café,General Eating,Chinese Restaurant,Pizza Place,Italian Restaurant,Wine Bar,Park,Cocktail Bar
"20th arrondissement(Called ""de Ménilmontant"")",Belleville,3,48.8728,2.3895,0,Bar,French Restaurant,General Eating,Café,Chinese Restaurant,Vietnamese Restaurant,Indian Restaurant,Italian Restaurant,Cocktail Bar,Rock Club
"20th arrondissement(Called ""de Ménilmontant"")",Saint-Fargeau,3,48.8714,2.4034,0,Bar,French Restaurant,Plaza,Bakery,Supermarket,Bistro,Café,Pizza Place,Italian Restaurant,Concert Hall
"20th arrondissement(Called ""de Ménilmontant"")",Père-Lachaise,3,48.8614,2.3933,0,Bar,French Restaurant,Bistro,Bookstore,Italian Restaurant,Theater,Beer Bar,Moroccan Restaurant,Thai Restaurant,Café
"20th arrondissement(Called ""de Ménilmontant"")",Charonne,3,48.8527,2.4061,0,French Restaurant,Bar,Hotel,Japanese Restaurant,Pizza Place,Plaza,Bistro,Farmers Market,Supermarket,Climbing Gym
